batting_team,bowling_team,city,runs_left,balls_left,wickets_left,target,crr,rrr,result
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,44,7,1,208,8.70796460176991,37.714285714285715,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,43,6,1,208,8.68421052631579,43.0,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,43,5,1,208,8.608695652173912,51.6,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,42,4,1,208,8.586206896551724,63.0,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,36,3,1,208,8.820512820512821,72.0,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,36,2,0,208,8.745762711864407,108.0,0
Rising Pune Supergiant,Mumbai Indians,Pune,184,119,10,185,6.0,9.277310924369749,1
Rising Pune Supergiant,Mumbai Indians,Pune,180,118,10,185,15.0,9.152542372881356,1
Rising Pune Supergiant,Mumbai Indians,Pune,179,117,10,185,12.0,9.179487179487179,1
Rising Pune Supergiant,Mumbai Indians,Pune,178,116,10,185,10.5,9.206896551724139,1
Rising Pune Supergiant,Mumbai Indians,Pune,178,115,10,185,8.4,9.28695652173913,1
Rising Pune Supergiant,Mumbai Indians,Pune,178,114,10,185,7.0,9.368421052631579,1
Rising Pune Supergiant,Mumbai Indians,Pune,177,113,10,185,6.857142857142857,9.398230088495575,1
Rising Pune Supergiant,Mumbai Indians,Pune,173,113,10,185,10.285714285714286,9.185840707964601,1
Rising Pune Supergiant,Mumbai Indians,Pune,169,112,10,185,12.0,9.053571428571429,1
Rising Pune Supergiant,Mumbai Indians,Pune,168,111,10,185,11.333333333333334,9.08108108108108,1
Rising Pune Supergiant,Mumbai Indians,Pune,167,110,10,185,10.8,9.10909090909091,1
Rising Pune Supergiant,Mumbai Indians,Pune,163,109,10,185,12.0,8.972477064220184,1
Rising Pune Supergiant,Mumbai Indians,Pune,162,108,10,185,11.5,9.0,1
Rising Pune Supergiant,Mumbai Indians,Pune,162,107,10,185,10.615384615384615,9.08411214953271,1
Rising Pune Supergiant,Mumbai Indians,Pune,162,106,10,185,9.857142857142858,9.169811320754716,1
Rising Pune Supergiant,Mumbai Indians,Pune,156,105,10,185,11.6,8.914285714285715,1
Rising Pune Supergiant,Mumbai Indians,Pune,152,104,10,185,12.375,8.76923076923077,1
Rising Pune Supergiant,Mumbai Indians,Pune,151,103,10,185,12.0,8.79611650485437,1
Rising Pune Supergiant,Mumbai Indians,Pune,150,102,10,185,11.666666666666666,8.823529411764707,1
Rising Pune Supergiant,Mumbai Indians,Pune,150,101,9,185,11.052631578947368,8.910891089108912,1
Rising Pune Supergiant,Mumbai Indians,Pune,150,100,9,185,10.5,9.0,1
Rising Pune Supergiant,Mumbai Indians,Pune,149,99,9,185,10.285714285714286,9.030303030303031,1
Rising Pune Supergiant,Mumbai Indians,Pune,148,98,9,185,10.090909090909092,9.061224489795919,1
Rising Pune Supergiant,Mumbai Indians,Pune,146,97,9,185,10.173913043478262,9.030927835051546,1
Rising Pune Supergiant,Mumbai Indians,Pune,146,96,9,185,9.75,9.125,1
Rising Pune Supergiant,Mumbai Indians,Pune,145,95,9,185,9.6,9.157894736842104,1
Rising Pune Supergiant,Mumbai Indians,Pune,144,94,9,185,9.461538461538462,9.191489361702128,1
Rising Pune Supergiant,Mumbai Indians,Pune,144,93,9,185,9.11111111111111,9.290322580645162,1
Rising Pune Supergiant,Mumbai Indians,Pune,143,92,9,185,9.0,9.326086956521738,1
Rising Pune Supergiant,Mumbai Indians,Pune,143,91,9,185,8.689655172413794,9.428571428571429,1
Rising Pune Supergiant,Mumbai Indians,Pune,142,90,9,185,8.6,9.466666666666667,1
Rising Pune Supergiant,Mumbai Indians,Pune,138,89,9,185,9.096774193548388,9.303370786516854,1
Rising Pune Supergiant,Mumbai Indians,Pune,137,88,9,185,9.0,9.340909090909092,1
Rising Pune Supergiant,Mumbai Indians,Pune,131,87,9,185,9.818181818181818,9.03448275862069,1
Rising Pune Supergiant,Mumbai Indians,Pune,127,86,9,185,10.235294117647058,8.86046511627907,1
Rising Pune Supergiant,Mumbai Indians,Pune,127,85,9,185,9.942857142857143,8.964705882352941,1
Rising Pune Supergiant,Mumbai Indians,Pune,126,84,9,185,9.833333333333334,9.0,1
Rising Pune Supergiant,Mumbai Indians,Pune,125,83,9,185,9.72972972972973,9.036144578313253,1
Rising Pune Supergiant,Mumbai Indians,Pune,125,82,9,185,9.473684210526315,9.146341463414634,1
Rising Pune Supergiant,Mumbai Indians,Pune,124,81,9,185,9.384615384615385,9.185185185185185,1
Rising Pune Supergiant,Mumbai Indians,Pune,123,80,9,185,9.3,9.225,1
Rising Pune Supergiant,Mumbai Indians,Pune,123,79,9,185,9.073170731707316,9.341772151898734,1
Rising Pune Supergiant,Mumbai Indians,Pune,122,78,9,185,9.0,9.384615384615385,1
Rising Pune Supergiant,Mumbai Indians,Pune,120,77,9,185,9.069767441860465,9.35064935064935,1
Rising Pune Supergiant,Mumbai Indians,Pune,120,76,9,185,8.863636363636363,9.473684210526315,1
Rising Pune Supergiant,Mumbai Indians,Pune,116,75,9,185,9.2,9.28,1
Rising Pune Supergiant,Mumbai Indians,Pune,114,74,9,185,9.26086956521739,9.243243243243244,1
Rising Pune Supergiant,Mumbai Indians,Pune,113,73,9,185,9.191489361702128,9.287671232876713,1
Rising Pune Supergiant,Mumbai Indians,Pune,112,72,9,185,9.125,9.333333333333334,1
Rising Pune Supergiant,Mumbai Indians,Pune,110,71,9,185,9.183673469387756,9.295774647887324,1
Rising Pune Supergiant,Mumbai Indians,Pune,106,70,9,185,9.48,9.085714285714285,1
Rising Pune Supergiant,Mumbai Indians,Pune,105,69,9,185,9.411764705882353,9.130434782608695,1
Rising Pune Supergiant,Mumbai Indians,Pune,105,68,9,185,9.23076923076923,9.264705882352942,1
Rising Pune Supergiant,Mumbai Indians,Pune,104,67,9,185,9.169811320754716,9.313432835820896,1
Rising Pune Supergiant,Mumbai Indians,Pune,103,66,9,185,9.11111111111111,9.363636363636363,1
Rising Pune Supergiant,Mumbai Indians,Pune,103,65,9,185,8.945454545454545,9.507692307692308,1
Rising Pune Supergiant,Mumbai Indians,Pune,97,64,9,185,9.428571428571429,9.09375,1
Rising Pune Supergiant,Mumbai Indians,Pune,96,63,9,185,9.368421052631579,9.142857142857142,1
Rising Pune Supergiant,Mumbai Indians,Pune,94,62,9,185,9.413793103448276,9.096774193548388,1
Rising Pune Supergiant,Mumbai Indians,Pune,93,61,9,185,9.35593220338983,9.147540983606557,1
Rising Pune Supergiant,Mumbai Indians,Pune,92,60,9,185,9.3,9.2,1
Rising Pune Supergiant,Mumbai Indians,Pune,92,59,8,185,9.147540983606557,9.35593220338983,1
Rising Pune Supergiant,Mumbai Indians,Pune,92,58,8,185,9.0,9.517241379310345,1
Rising Pune Supergiant,Mumbai Indians,Pune,91,57,8,185,8.952380952380953,9.578947368421053,1
Rising Pune Supergiant,Mumbai Indians,Pune,91,56,8,185,8.8125,9.75,1
Rising Pune Supergiant,Mumbai Indians,Pune,89,55,8,185,8.861538461538462,9.709090909090909,1
Rising Pune Supergiant,Mumbai Indians,Pune,88,54,8,185,8.818181818181818,9.777777777777779,1
Rising Pune Supergiant,Mumbai Indians,Pune,88,53,8,185,8.686567164179104,9.962264150943396,1
Rising Pune Supergiant,Mumbai Indians,Pune,87,52,8,185,8.647058823529411,10.038461538461538,1
Rising Pune Supergiant,Mumbai Indians,Pune,86,51,8,185,8.608695652173912,10.117647058823529,1
Rising Pune Supergiant,Mumbai Indians,Pune,82,50,8,185,8.82857142857143,9.84,1
Rising Pune Supergiant,Mumbai Indians,Pune,81,49,8,185,8.788732394366198,9.918367346938776,1
Rising Pune Supergiant,Mumbai Indians,Pune,80,48,8,185,8.75,10.0,1
Rising Pune Supergiant,Mumbai Indians,Pune,80,47,8,185,8.63013698630137,10.212765957446809,1
Rising Pune Supergiant,Mumbai Indians,Pune,80,46,8,185,8.513513513513514,10.434782608695652,1
Rising Pune Supergiant,Mumbai Indians,Pune,76,45,8,185,8.72,10.133333333333333,1
Rising Pune Supergiant,Mumbai Indians,Pune,76,44,8,185,8.605263157894736,10.363636363636363,1
Rising Pune Supergiant,Mumbai Indians,Pune,72,43,8,185,8.805194805194805,10.046511627906977,1
Rising Pune Supergiant,Mumbai Indians,Pune,71,42,8,185,8.76923076923077,10.142857142857142,1
Rising Pune Supergiant,Mumbai Indians,Pune,67,41,8,185,8.962025316455696,9.804878048780488,1
Rising Pune Supergiant,Mumbai Indians,Pune,66,40,8,185,8.925,9.9,1
Rising Pune Supergiant,Mumbai Indians,Pune,65,39,8,185,8.88888888888889,10.0,1
Rising Pune Supergiant,Mumbai Indians,Pune,59,38,8,185,9.21951219512195,9.31578947368421,1
Rising Pune Supergiant,Mumbai Indians,Pune,58,37,8,185,9.180722891566266,9.405405405405405,1
